wav_filename,wav_filesize,transcript
pacific_ic_audio_0.wav,1536044,beep
pacific_ic_audio_1.wav,1536044,"engine 70, engine 88, engine 69, engine 67, structure fire"
pacific_ic_audio_2.wav,1536044,70 2145 ???? Cross of Las Flores Canyon Road (beep beep)
pacific_ic_audio_3.wav,1536044,"The following communication plan(?)  ??? structure fire established(?) district(?) Blue3(?) Command U15 direct, primary TAC, 813 direct."
pacific_ic_audio_4.wav,1536044,"Secondary TAC e12 direct, ??????. LA, patrol 67, can you send that structure"
pacific_ic_audio_5.wav,1536044,"control station copy, ground for assignment"
pacific_ic_audio_6.wav,1536044,"??? 124. Engine 70, LA. Go for 70. "
pacific_ic_audio_7.wav,1536044,"Engine 7, be advised we do have an abulance started to your cited? possible patients (beep beep)"
pacific_ic_audio_8.wav,1536044,"LA, this is 70. 70, go ahead. LA,"
pacific_ic_audio_9.wav,1536044,"Engine 70. 70, go ahead. LA, 70, let's upgrade this to a brush [fire]"
pacific_ic_audio_10.wav,1536044,"[assignment]. Uh, it looks like we do have a house involved with extension into the brush. Approximately a half acre of brush. "
pacific_ic_audio_11.wav,1536044,Creeping up hill... unknown type of brush at this moment. 
pacific_ic_audio_12.wav,1536044,"70, copy. (beep) Units responding 2145 Ramblin(?) Pico(?), 70 is on scene of a house"
pacific_ic_audio_13.wav,1536044,"involved, extension into the brush. About a half acre, creeping uphill. ???? brush."
